"Title","Media URL","Pinterest board","Description","Link","Keywords"
"Óleo original: Pantera — Julio Machado","https://jcmachado.com/imagenes/ml/pantera-1787359532578.jpg","Retratos y Obra — Julio Machado","Esta obra nació de una decisión de soporte: en vez del formato cuadrado, pinté sobre una tabla circular de madera, aprovechando su textura natural. El círculo cambia todo — la pintura se vuelve objeto, no ventana. Arte argentino contemporáneo. Oleo sobre tabla de madera","https://jcmachado.com/obra/pantera/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre tabla de madera, decoración, regalo original"
"Óleo original: Monoblocks — Julio Machado","https://jcmachado.com/imagenes/ml/Monoblocks.jpg","Retratos y Obra — Julio Machado","No hay una sola persona en este cuadro. Y, sin embargo, es de los que más personas tiene. Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/monoblocks/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
"Óleo original: A las margaritas 1 — Julio Machado","https://jcmachado.com/imagenes/ml/Margaritas.jpg","Retratos y Obra — Julio Machado","Hay cuadros que quieren decir algo y cuadros que quieren hacer silencio. ""A las margaritas"" es de los segundos. Arte argentino contemporáneo. Oleo sobre bastidor","https://jcmachado.com/obra/a-las-margaritas-1/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre bastidor, decoración, regalo original"
"Óleo original: Ascenso: Raiz — Julio Machado","https://jcmachado.com/imagenes/ml/Raiz.jpg","Ascenso — Serie","Raíz Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/ascenso-raiz/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
"Óleo original: Ascenso: Sacro — Julio Machado","https://jcmachado.com/imagenes/ml/Sacro.jpg","Ascenso — Serie","Segunda pieza de la colección de los siete chakras. Si Raíz era tierra y peso, Sacro es agua y movimiento: el chakra del placer, la creatividad, todo lo que fluye en vez de quedarse quieto. Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/ascenso-sacro/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
"Óleo original: Ascenso: Plexo — Julio Machado","https://jcmachado.com/imagenes/ml/Plexo.jpg","Ascenso — Serie","Tercera pieza de la serie Siete Chakras. Plexo solar es el centro de la voluntad — el punto donde el instinto de Raíz y el disfrute de Sacro necesitan, por fin, una afirmación: yo puedo. Es el chakra que más incomoda nombrar, porque hablar bien del propio ego todavía suena mal. Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/ascenso-plexo/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
"Óleo original: Ascenso: Corazon — Julio Machado","https://jcmachado.com/imagenes/ml/Corazon.jpg","Ascenso — Serie","Cuarta pieza de la serie Siete Chakras. Anahata es el chakra bisagra: el punto donde lo que viene de abajo —cuerpo, deseo, voluntad— tiene que encontrarse con lo que todavía falta —voz, intuición, conciencia. Es el primero de los cuatro que no se cierra sobre sí mismo. Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/ascenso-corazon/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
"Óleo original: Ascenso: Garganta — Julio Machado","https://jcmachado.com/imagenes/ml/ascensocorazon.jpg","Ascenso — Serie","Quinta pieza de la serie Siete Chakras. Vishuddha es el primero de los tres superiores: el punto donde el cuerpo, el deseo y la voluntad de los chakras anteriores tienen que encontrar una forma de decirse. No es el chakra de comunicarte bien — es el de descubrir que nunca decís exactamente lo que querés decir. Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/ascenso-garganta/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
"Óleo original: Ascenso: Tercer Ojo — Julio Machado","https://jcmachado.com/imagenes/ml/IMG_4817.jpg","Ascenso — Serie","Chakra VI · Tercer Ojo Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/ascenso-tercer-ojo/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
"Óleo original: Ascenso: Corona — Julio Machado","https://jcmachado.com/imagenes/ml/corona.jpg","Ascenso — Serie","En los seis cuadros anteriores el horizonte fue ascendiendo hasta casi desaparecer. Este es el único que no lo tiene, y no por descuido: el horizonte es un límite, y la coronilla es el punto donde el cuerpo deja de tener hacia dónde mirar. Posó la misma persona que abrió la serie, siete posturas, para que la serie se cierre como un gesto y no como una lista. El color se deja sin nombre a propósito: hay cosas que se nombran para dominarlas, y hay una sola que dejamos ser. Arte argentino contemporáneo. Oleo sobre panel","https://jcmachado.com/obra/ascenso-corona/?utm_source=pinterest&utm_medium=pin&utm_campaign=obras","arte argentino, pintura al óleo, retrato, Oleo sobre panel, decoración, regalo original"
